tweet,paragraph,label,predicted_label,language,correct_prediction,tweet_length,paragraph_length
I fucking hate Cristiano Ronaldo. He's so full of shit..,"Ronaldo in 2003 and 2017 are two completely different animals. The transformation is not given but through tough work and true commitment to conditioning. Ronaldo had raw talent but his physical gifts were sorely lacking in a league famed for its physicality. Ronaldo could settle for being a tradtional winger, just gaining some mass and keep the raw pace and trickery in tact. However, Ronaldo went on strict training regimes and gained strength and weight without losing any of his raw speed and even increasing it. This meant he gained power alongside pace.",1,0,en,False,56,561
でもサンドラ・ブロックは演技が下手だよ、バカ野郎。,『あなたが眠っている間に』は、サンドラ・ブロックをハリウッドの寵児としての地位を確立するのに役立ち、彼女は批評家から賞賛され、ゴールデン・グローブ賞にノミネートされました。,0,1,ja,False,25,86
Bill Cosby es un depredador sexual jajaja.,Y la de Bill parece ser que tuvo relaciones sexuales con chicas y les dio al menos a algunas de ellas Quaaludes.,0,1,es,False,42,112
Bill Cosby es un depredador sexual jajaja.,Y la de Bill parece ser que tuvo relaciones sexuales con chicas y les dio al menos a algunas de ellas Quaaludes.,0,1,es,False,42,112
ビル・コスビーは性犯罪者です（笑）,それは合衆国憲法と呼ばれるもので、たとえ左翼がリンチが失敗に終わったことに腹を立てたとしても、彼には権利があることを意味する。,1,0,ja,False,17,63
I fucking hate Cristiano Ronaldo. He's so full of shit..,He also helped raise extra money for Erik by donating a signed kit to sell at auction.,0,1,en,False,56,86
Newt Gingrich está demente; Cawthorn un apóstol sin sentido.,El mandato de Newt Gingrich como presidente de la Cámara es un buen reflejo de su carrera política en su conjunto.,1,0,es,False,60,114
Pero Sandra Bullock es mala actuando como idiotas estúpidos y tontos.,"De hecho, cuando Bullock tiene un guión que está a la altura de sus habilidades interpretativas, brilla. Ganó un Premio de la Academia por su papel en “The Blind Side” (2009) y recibió una nominación a mejor actriz por su papel esencialmente de una sola mujer en “Gravity” (2013). Hay una razón por la que es la segunda actriz en activo más rentable, según una métrica desarrollada por el sitio de análisis de taquilla The Numbers.",0,1,es,False,69,431
アヴリル・ラヴィーンは醜いし才能がない,彼女は最高に美しい笑顔、目、口を持っています,1,0,ja,False,19,22
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,彼は若くして偉大な選手としてスタートを切ったものの、成長しているようだ。クリスティアーノは以前は利己的で、確かに少し泣き言も言っていましたが、私は変化を見てきました。私は彼のことは嫌いですが、彼のプレーは観ていますし、サー・アレックス・ファーガソンの下で彼が大きく成長するのを見てきました。以前はボール猛者として知られていたが、最近はルーニーをアシストすることが多く、自分自身だけでなくチームのためにゴールを決めることを考えている。,0,1,ja,False,37,216
でもサンドラ・ブロックは演技が下手だよ、バカ野郎。,サンドラ・ブロックは、「アメリカの恋人」とも呼ばれる最愛のスターレットとして 1990 年代にハリウッドのシーンに登場しました。ブロックの名声の流星的な上昇は、彼女がキャリアの後半でより深刻な役に移行する前に、人気のあるロマンティックコメディでの隣の女の子のような役によって主に推進されました。 2010年の時点で、ブロックは世界で最も稼いだ女優となったが、その主な理由は彼女の商業的な売れ行きとスクリーンでの圧倒的な存在感によるものである。,1,0,ja,False,25,221
I fucking hate Cristiano Ronaldo. He's so full of shit..,"People with tattoos can donate blood, but are not able to do so immediately after getting new ink to reduce the risk of infection.",0,1,en,False,56,130
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,私たちのクラスには、他の生徒ほど頭が良くない生徒が一人いますが、それでも彼は、昼も夜も懸命に努力することで、試験でなんとか1位になり、彼よりも才能のある生徒たちを上回っています。クリスティアーノ・ロナウドも彼らと同じだ。彼に才能がないとは言いませんが、才能よりも努力家です。,0,1,ja,False,37,137
I fucking hate Cristiano Ronaldo. He's so full of shit..,7.He is a complete superstar,0,1,en,False,56,28
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,ボーンマスでのプレシーズン親善試合中、ロナウドはバイタリティ・スタジアムの観衆に向けてトレードマークのフリーキックを放った。,0,1,ja,False,37,62
Newt Gingrich is demented; Cawthorn a mindless apostle.,"I did not enjoy any of the experiences. I found him to be full of himself. He did a great job of being “a man of the people” while others were watching. Otherwise, in more private moments, he put himself above others.",0,1,en,False,55,217
I fucking hate Cristiano Ronaldo. He's so full of shit..,During a Champions League clash he also hit a shot into the crowd that made a young boy cry.,0,1,en,False,56,92
ビル・コスビーは性犯罪者です（笑）,金曜日、コスビーの公式ツイッターアカウントは、メディアの報道がこのコメディアンに対する世論を揺るがすために彼の有罪判決の事実を操作しているとのメッセージを投稿した。コスビー氏に対する世論を操作しようとしている。」,1,0,ja,False,17,106
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,ロナウドはまた、ピッチ上での並外れたパフォーマンスで得たお金を惜しみなく放棄した。,1,0,ja,False,37,41
黙ってろ!!ロナウドの方が断然上手い 見ざる猿 メッシは利己的でクソ頭,ひどく困っている人たちに自分のお金を寄付するなんて、彼は何と利己的なのでしょう。,1,0,ja,False,35,40
黙ってろ!!ロナウドの方が断然上手い 見ざる猿 メッシは利己的でクソ頭,ひどく困っている人たちに自分のお金を寄付するなんて、彼は何と利己的なのでしょう。,1,0,ja,False,35,40
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Aquí se miden dieciocho cosas que hizo CR7 para indicar que incluso para él, la humanidad supera todo lo demás:",0,1,es,False,53,111
Pero Sandra Bullock es mala actuando como idiotas estúpidos y tontos.,"Desde que aterrizó por primera vez en Hollywood, Sandra Bullock siempre ha tenido el doblaje de ""America's Sweetheart"". Con un corazón de oro que es tan brillante como el Oscar en su manto, Bullock no solo se ganó ese apodo por ser una buena persona, sino que, específicamente, lo obtuvo gracias a la gente que la diseñó.",0,1,es,False,69,321
Odio a Cristiano Ronaldo. Está tan lleno de mierda...,"Ronaldo en 2003 y 2017 son dos animales completamente diferentes. La transformación no se da sino a través del trabajo duro y el verdadero compromiso con el acondicionamiento. Ronaldo tenía talento en bruto, pero sus dotes físicas eran muy deficientes en una liga famosa por su físico. Ronaldo podría conformarse con ser un extremo tradicional, simplemente ganando algo de masa y manteniendo intacto el ritmo crudo y el engaño. Sin embargo, Ronaldo siguió estrictos regímenes de entrenamiento y ganó fuerza y ​​​​peso sin perder nada de su velocidad bruta e incluso aumentarla. Esto significó que ganó potencia junto con el ritmo.",1,0,es,False,53,630
