tweet,paragraph,label,predicted_label,language,correct_prediction,tweet_length,paragraph_length
I fucking hate Cristiano Ronaldo. He's so full of shit..,"Ronaldo in 2003 and 2017 are two completely different animals. The transformation is not given but through tough work and true commitment to conditioning. Ronaldo had raw talent but his physical gifts were sorely lacking in a league famed for its physicality. Ronaldo could settle for being a tradtional winger, just gaining some mass and keep the raw pace and trickery in tact. However, Ronaldo went on strict training regimes and gained strength and weight without losing any of his raw speed and even increasing it. This meant he gained power alongside pace.",1,0,en,False,56,561
ビル・コスビーは性犯罪者です（笑）,それは合衆国憲法と呼ばれるもので、たとえ左翼がリンチが失敗に終わったことに腹を立てたとしても、彼には権利があることを意味する。,1,0,ja,False,17,63
I fucking hate Cristiano Ronaldo. He's so full of shit..,He also helped raise extra money for Erik by donating a signed kit to sell at auction.,0,1,en,False,56,86
Newt Gingrich está demente; Cawthorn un apóstol sin sentido.,El mandato de Newt Gingrich como presidente de la Cámara es un buen reflejo de su carrera política en su conjunto.,1,0,es,False,60,114
Pero Sandra Bullock es mala actuando como idiotas estúpidos y tontos.,"De hecho, cuando Bullock tiene un guión que está a la altura de sus habilidades interpretativas, brilla. Ganó un Premio de la Academia por su papel en “The Blind Side” (2009) y recibió una nominación a mejor actriz por su papel esencialmente de una sola mujer en “Gravity” (2013). Hay una razón por la que es la segunda actriz en activo más rentable, según una métrica desarrollada por el sitio de análisis de taquilla The Numbers.",0,1,es,False,69,431
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,彼は若くして偉大な選手としてスタートを切ったものの、成長しているようだ。クリスティアーノは以前は利己的で、確かに少し泣き言も言っていましたが、私は変化を見てきました。私は彼のことは嫌いですが、彼のプレーは観ていますし、サー・アレックス・ファーガソンの下で彼が大きく成長するのを見てきました。以前はボール猛者として知られていたが、最近はルーニーをアシストすることが多く、自分自身だけでなくチームのためにゴールを決めることを考えている。,0,1,ja,False,37,216
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,彼はあなたや私のような人々がなりたいものすべてです。,1,0,ja,False,37,26
でもサンドラ・ブロックは演技が下手だよ、バカ野郎。,サンドラ・ブロックは、「アメリカの恋人」とも呼ばれる最愛のスターレットとして 1990 年代にハリウッドのシーンに登場しました。ブロックの名声の流星的な上昇は、彼女がキャリアの後半でより深刻な役に移行する前に、人気のあるロマンティックコメディでの隣の女の子のような役によって主に推進されました。 2010年の時点で、ブロックは世界で最も稼いだ女優となったが、その主な理由は彼女の商業的な売れ行きとスクリーンでの圧倒的な存在感によるものである。,1,0,ja,False,25,221
I fucking hate Cristiano Ronaldo. He's so full of shit..,"People with tattoos can donate blood, but are not able to do so immediately after getting new ink to reduce the risk of infection.",0,1,en,False,56,130
クリスティアーノ・ロナウドは大嫌いだ。彼は本当にたわごとでいっぱいです..,その理由は、人々がロナウドは生意気で、メッシは謙虚だと感じているからである。しかし、どちらも真実ではなく、唯一の違いは、ロナウドが自分の考えを話し、自分の目標を実現させるということです。その一例が、今年のチャンピオンズリーグ第2レグ対アトレティコ・マドリードです。ユベントスは0-2で負けており、ロナウドは試合が始まる前からハットトリックを達成してユベントスをラウンド16に導くつもりだと語った。同日、彼はフィールドに登場し、驚異的なハットトリックを達成した。,0,1,ja,False,37,230
